"","province","arvincome","Cook1kinds","Cook1effi","Cook1freq","Cook1time","Cook2kinds","Cook2effi","Cook2freq","Cook2time","Cook3kinds","Cook3effi","Cook3freq","Cook3time","Cook4kinds","Cook4effi","Cook4freq","Cook4time","totaltime1","totaltime2","totaltime3","totaltime4"
"37",1,525,"tianranqi",NA,90,0.625,"dianfanguo",600,60,0.625,"dianshuihu",1500,90,0.25,"weibolu",1500,30,0.25,56.25,37.5,22.5,7.5
"38",1,594,"tianranqi",NA,90,0.375,"dianfanguo",1500,60,0.375,"dianshuihu",1500,60,0.25,"weibolu",1500,20,0.25,33.75,22.5,15,5
"39",1,548,"tianranqi",NA,60,1.5,"dianfanguo",850,30,0.625,"weibolu",850,30,0.25,"dianshuihu",850,60,1.5,90,18.75,7.5,90
"40",1,526,"tianranqi",NA,90,0.875,"tianranqi",NA,90,0.875,"dianfanguo",600,90,0.625,"gaoyaguo",600,12,0.625,78.75,78.75,56.25,7.5
"41",1,526,"dianfanguo",NA,60,0.625,"yehuaqi",NA,60,0.875,"weibolu",NA,20,0.25,"dianshuihu",600,90,0.25,37.5,52.5,5,22.5
"42",1,526,"tianranqi",NA,90,0.625,"tianranqi",NA,90,0.625,"tianranqi",NA,90,0.625,"tianranqi",NA,90,0.625,56.25,56.25,56.25,56.25
"43",15,526,"tianranqi",NA,60,0.375,"weibolu",1250,90,0.25,"dianshuihu",1250,90,0.25,"dianfanguo",850,30,0.375,22.5,22.5,22.5,11.25
"44",15,576,"tianranqi",NA,90,0.375,"dianfanguo",300,60,0.375,"diancilu",1250,12,0.625,"weibolu",1500,12,0.375,33.75,22.5,7.5,4.5
"45",15,511,"yehuaqi",NA,60,0.625,"yehuaqi",NA,60,0.625,"dianfanguo",850,60,0.625,"weibolu",850,30,0.25,37.5,37.5,37.5,7.5
"46",15,501,"gaoyaguo",NA,30,0.625,"tianranqi",NA,90,0.375,"dianshuihu",NA,90,0.25,"diancilu",NA,60,0.375,18.75,33.75,22.5,22.5
"47",15,576,"yehuaqi",NA,60,0.375,"dianfanguo",850,90,0.375,"dianshuihu",1250,90,0.25,"weibolu",850,12,0.25,22.5,33.75,22.5,3
"48",15,500,"xinchai",NA,90,0.25,"jiegan",NA,60,0.25,"yehuaqi",NA,20,0.375,"xinchai",NA,12,0.375,22.5,15,7.5,4.5
"49",15,641,"xinchai",NA,20,0.375,"dianfanguo",600,60,0.625,"yehuaqi",NA,90,0.375,"diancilu",600,20,0.625,7.5,37.5,33.75,12.5
"50",19,534,"yehuaqi",NA,30,0.375,"dianfanguo",400,30,0.375,"dianshuihu",NA,60,0.25,"gaoyaguo",NA,8,0.375,11.25,11.25,15,3
"51",19,548,"tianranqi",NA,30,0.375,"dianfanguo",400,60,0.375,"weibolu",1500,12,0.25,"gaoyaguo",NA,12,0.375,11.25,22.5,3,4.5
"52",19,526,"yehuaqi",NA,4,0.375,NA,400,60,0.25,NA,400,30,0.375,NA,400,90,3,1.5,15,11.25,270
"53",19,576,"tianranqi",NA,90,0.875,"dianfanguo",850,60,1.5,"gaoyaguo",NA,12,1.5,"weibolu",NA,0,0.25,78.75,90,18,0
