"","province","arvincome","Cook1kinds","Cook1effi","Cook1freq","Cook1time","Cook2kinds","Cook2effi","Cook2freq","Cook2time","Cook3kinds","Cook3effi","Cook3freq","Cook3time","Cook4kinds","Cook4effi","Cook4freq","Cook4time"
"1",4,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",4,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",4,192,"tianranqi",NA,90,0.875,"dianfanguo",1250,90,0.625,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",4,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",4,476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",4,128,"yehuaqi",NA,90,0.625,"dianfanguo",NA,60,0.625,"gaoyaguo",NA,30,1.5,"weibolu",NA,12,0.25
"8",4,40,"tianranqi",NA,90,0.375,"dianfanguo",1250,12,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"9",4,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",4,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",4,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",4,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",4,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",4,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",4,576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",4,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",4,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",4,286,"tianranqi",NA,90,0.375,"dianfanguo",600,8,0.625,"gaoyaguo",NA,8,0.375,"weibolu",NA,30,0.25
"20",4,74,"tianranqi",NA,90,0.375,"dianshuihu",NA,90,0.25,"weibolu",1250,90,0.25,NA,NA,NA,NA
"21",4,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",4,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",4,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",4,338,"yehuaqi",NA,90,0.375,"dianfanguo",850,90,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"25",4,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",4,152,"tianranqi",NA,60,1.5,"weibolu",300,12,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"28",4,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",4,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",4,167,"yehuaqi",NA,60,0.375,"yehuaqi",NA,60,0.375,"diancilu",1250,60,0.375,NA,NA,NA,NA
"31",4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",4,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",4,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",4,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",4,425,"yehuaqi",NA,90,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",4,100,"meiqi",NA,90,0.375,"dianfanguo",600,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"37",4,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",4,286,"diancilu",1500,60,0.625,"dianfanguo",1500,90,0.625,"weibolu",600,20,0.25,"dianshuihu",400,60,0.25
"39",4,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",4,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",4,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",4,533,"diancilu",1250,4,1.5,"tianranqi",NA,90,0.375,"dianfanguo",850,90,0.375,"weibolu",1250,60,0.25
"43",4,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",4,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",4,17,"dianfanguo",NA,30,0.625,"diancilu",NA,90,0.375,"weibolu",600,30,0.25,NA,NA,NA,NA
"46",4,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",4,186,"yehuaqi",NA,60,0.625,"dianfanguo",850,30,0.625,"dianshuihu",1500,30,0.25,NA,NA,NA,NA
"48",4,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",4,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",4,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",4,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",4,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",4,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",4,476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",4,373,"yehuaqi",NA,90,1.5,"dianfanguo",400,12,0.375,"weibolu",850,4,0.625,NA,NA,NA,NA
"56",4,167,"tianranqi",NA,90,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",4,459,"meiqi",NA,90,0.375,"dianfanguo",1250,30,0.375,"dianshuihu",1250,30,0.25,NA,NA,NA,NA
"58",4,467,"tianranqi",NA,90,1.5,"dianshuihu",1500,90,0.25,"dianfanguo",1250,12,1.5,"weibolu",1250,30,0.25
"59",4,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",4,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",4,17,"tianranqi",NA,90,0.625,"dianshuihu",1250,90,0.25,"dianfanguo",400,60,0.375,"gaoyaguo",400,12,0.625
"62",4,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",4,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",4,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",4,405,"tianranqi",NA,20,0.375,"dianfanguo",600,20,0.375,"diancilu",850,12,0.375,NA,NA,NA,NA
"66",4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",4,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",4,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",4,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",4,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",4,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",4,548,"tianranqi",NA,30,0.375,"weibolu",600,30,0.25,"dianshuihu",300,60,0.25,"diancilu",1250,20,0.25
"73",4,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",4,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",4,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",4,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",4,393,"dianfanguo",850,30,0.875,"tianranqi",NA,90,0.875,"gaoyaguo",NA,8,0.625,"dianshuihu",NA,8,0.625
"78",4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",4,487,"diancilu",1250,30,0.25,"dianfanguo",850,30,0.375,"weibolu",NA,12,0.25,"dianshuihu",1250,30,0.25
"80",4,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",4,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",4,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",4,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",4,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",4,425,"tianranqi",NA,90,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",4,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",4,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",4,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",4,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",4,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",4,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",4,576,"tianranqi",NA,90,0.625,"dianfanguo",400,20,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"96",4,286,"yehuaqi",NA,60,0.375,"dianfanguo",600,30,0.375,NA,NA,NA,NA,NA,NA,NA,NA
