"","province","arvincome","Cook1kinds","Cook1effi","Cook1freq","Cook1time","Cook2kinds","Cook2effi","Cook2freq","Cook2time","Cook3kinds","Cook3effi","Cook3freq","Cook3time","Cook4kinds","Cook4effi","Cook4freq","Cook4time"
"60",4,"25000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"61",4,"-1.5",8,NA,1,3,"16",5,1,"1","11",2,2,"2","12",2,5,3
"62",4,"25000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"63",4,"24000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"64",4,"50000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"65",4,"37500",8,NA,4,2,"11",3,4,"2","6",4,5,"2"," ",NA,NA,NA
"66",4,"-0.4",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"67",4,"12500",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"68",4,"66666.66667",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"69",4,"50000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"70",4,"40000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"71",4,"12000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"72",4,"66666.66667",8,NA,3,2,"13",3,3,"1","16",1,2,"1","6",5,4,1
"73",4,"50000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"74",4,"46666.66667",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"75",4,"0",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"76",4,"66666.66667",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"77",4,"36000",11,4,3,4,"8",NA,1,"4","12",-8,6,"3","16",-8,6,3
"78",4,"-1",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"79",4,"500000",6,5,3,1,"11",4,3,"2","13",-8,5,"1","16",5,3,1
"80",4,"80000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"81",4,"45000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
"82",4,"30000",NA,NA,NA,NA," ",NA,NA," "," ",NA,NA," "," ",NA,NA,NA
