"","kinds","efficiency","frequency","time"
"9230","diancilu","850","60","0.875"
"9234","dianfanguo",NA,"60","0.875"
"9239","diancilu","600","90","0.875"
"9252","dianfanguo",NA,"30","0.625"
"9259","diancilu","600","30","0.875"
"9282","diancilu","400","30","0.875"
"9296","dianfanguo","850","90","0.875"
"9308","diancilu","600","30","0.625"
"9327","dianfanguo","600","30","0.625"
"9359","dianfanguo","600","60","0.375"
"9361","diancilu","600","30","0.625"
"9400","dianfanguo","850","30","0.625"
"9413","diancilu","850","90","0.875"
"9447","dianfanguo","600","90","0.625"
"9477","diancilu",NA,"90","0.625"
"9485","dianfanguo","850","60","0.375"
"9516","dianfanguo","600","60","0.625"
"9540","dianfanguo",NA,"60","0.625"
"9582","diancilu","1250","20","0.875"
"9583","dianfanguo","300","60","0.875"
"9589","diancilu","1500","90","0.625"
"9592","diancilu","600","20","0.375"
"9596","diancilu","1250","12","0.625"
"9597","diancilu","1500","60","0.375"
"9600","diancilu","1500","90","0.875"
"9605","diancilu","1250","90","0.625"
"9612","diancilu","850","60","0.625"
"9613","diancilu","1250","60","0.375"
"9614","diancilu","1250","60","0.375"
"9615","diancilu","1250","60","0.625"
"9618","diancilu","1250","90","0.625"
"9622","diancilu","1250","60","0.625"
"9623","diancilu","1250","90","0.375"
"9628","diancilu","1250","12","0.25"
"9635","diancilu",NA,"60","0.625"
"9636","diancilu","1500","60","0.375"
"9639","diancilu","1250","60","0.375"
"9642","dianfanguo",NA,"60","0.875"
"9657","diancilu","1250","60","0.375"
"9661","diancilu","1250","60","0.25"
"9665","diancilu","1250","60","0.375"
"9666","diancilu","1500","60","0.625"
"9668","diancilu","600","90","0.875"
"9669","diancilu","1250","90","0.375"
"9670","diancilu","1500","90","1.5"
"9675","diancilu","1500","60","0.375"
"9679","diancilu",NA,"90","0.625"
"9680","diancilu","1250","60","0.375"
"9683","diancilu","1250","90","0.375"
"9687","diancilu","850","60","0.375"
"9688","diancilu","1500","90","0.875"
"9692","diancilu","850","90","0.375"
"9700","diancilu","1250","90","0.375"
"9704","diancilu","1500","90","0.625"
"9712","diancilu",NA,"60","0.375"
"9713","diancilu","1500","90","1.5"
"9714","diancilu","1500","90","1.5"
"9718","dianfanguo",NA,"60","0.375"
"9720","diancilu","1250","60","0.875"
"9721","diancilu","1250","90","0.875"
"9729","diancilu","1500","90","0.625"
"9734","diancilu","1250","90","0.625"
"9740","diancilu","850","90","0.625"
"9741","diancilu","1500","60","1.5"
"9748","diancilu","850","90","0.375"
"9752","diancilu","1500","90","0.375"
"9758","diancilu","1250","60","0.375"
"9760","dianfanguo","850","60","0.625"
"9761","diancilu","850","90","0.625"
"9766","diancilu","1250","90","0.375"
"9769","diancilu","1250","60","0.875"
"9775","diancilu","1500","90","0.875"
"9777","diancilu","1500","60","1.5"
"9778","dianfanguo","850","60","0.875"
"9779","diancilu","850","90","0.875"
"9781","dianfanguo",NA,NA,"0.625"
"9786","diancilu","1500","60","0.25"
"9792","diancilu",NA,"20","0.375"
"9797","dianfanguo",NA,NA,"0.875"
"9800","diancilu","1500","90","0.875"
"9802","diancilu","850","90","0.25"
"9806","diancilu","1500","90","1.5"
"9807","diancilu","1500","60","0.375"
"9808","dianfanguo","850","60","0.625"
"9811","dianfanguo","1250","60","0.625"
"9813","diancilu","1500","90","1.5"
"9816","diancilu","1250","90","0.375"
"9817","diancilu","1250","60","0.375"
"9818","diancilu","1500","90","0.625"
"9820","diancilu","1500","90","1.5"
"9822","diancilu","1500","90","1.5"
"9838","diancilu","1250","60","0.625"
"9839","diancilu","400","90","0.625"
"9852","diancilu","850","60","0.375"
"9860","dianfanguo","1250","90","0.625"
"9861","dianfanguo","1500","30","1.5"
"9867","diancilu","1500","90","0.625"
"9870","diancilu",NA,"90","0.375"
"9878","diancilu",NA,"60","0.625"
"9880","diancilu","1250","90","0.625"
"9881","diancilu","1250","90","0.625"
"9883","dianfanguo","850","60","0.625"
"9884","diancilu","1250","60","0.375"
"9885","dianfanguo",NA,"60","0.625"
"9888","diancilu","1500","90","0.875"
"9890","dianfanguo","850","60","0.625"
"9893","diancilu","1500","90","0.375"
"9897","diancilu",NA,"90","0.875"
"9902","dianfanguo","1250","90","1.5"
"9906","diancilu","1500","90","1.5"
"9908","dianfanguo","1250","60","0.625"
"9910","diancilu","1500","90","0.875"
"9915","dianfanguo",NA,"60","0.625"
"9931","dianshuihu","300","90","0.25"
"9932","dianfanguo","850","90","0.625"
"9934","diancilu",NA,"60","0.625"
"9935","dianfanguo","850","90","6"
"9943","diancilu",NA,NA,"0.625"
"9944","diancilu",NA,"90","0.625"
"9953","diancilu","1500","90","0.625"
"9961",NA,"300","20","0.25"
"9972","diancilu","1500","90","0.625"
"9973","diancilu","1500","90","1.5"
"9974","dianfanguo","1250","60","0.625"
"9987","diancilu","1250","90","0.375"
"9988","diancilu","1250","90","0.625"
"9990","dianfanguo","1250","90","0.625"
"9992","dianfanguo",NA,"60","0.375"
"9996","diancilu","1500","60","0.375"
"9998","dianfanguo","1250","60","0.625"
"10002","dianfanguo","850","60","0.625"
"10008","diancilu",NA,NA,"0.625"
"10014","dianfanguo","850","90","0.375"
"10022","dianfanguo","1500","60","0.375"
"10037","weibolu","850","20","0.625"
"10040","diancilu","850","90","0.875"
"10046","dianfanguo","850","90","0.375"
"10050","diancilu","1500","60","0.875"
"10051","diancilu","850","60","0.625"
"10058","diancilu","1250","90","0.625"
"10065","diancilu","1500","90","0.375"
"10067","dianfanguo","600","60","0.375"
"10078","dianfanguo","600","90","0.375"
"10087","diancilu","1500","60","0.625"
"10094","diancilu","1500","60","1.5"
"10095","diancilu",NA,"60","0.875"
"10098","dianfanguo","850","60","0.375"
"10109","diancilu","850","60","0.875"
"10112","diancilu",NA,"90","0.625"
"10115","dianfanguo","1250","60","0.375"
"10119","dianfanguo","1250","60","0.625"
"10135","dianfanguo","1250","60","0.875"
"10142","diancilu","1500","90",NA
"10144","dianfanguo","400","60","0.375"
"10149","diancilu",NA,"90","0.875"
"10151","diancilu","600","90","0.875"
"10153","dianfanguo","600","60","0.875"
"10158","dianfanguo","600","90","0.625"
"10162","diancilu","1500","90","0.875"
"10181","dianfanguo","1250","60","0.625"
"10195","diancilu","1500","60","0.375"
"10197","dianfanguo",NA,"60","0.625"
"10202","diancilu","1500","90","0.625"
"10207","dianfanguo","850","60","0.375"
"10210","diancilu","1250","60","0.625"
"10220","diancilu","600","30","0.875"
"10235","diancilu","600","60","0.625"
"10245","dianfanguo","600","60","0.625"
"10254","diancilu","1500","60","0.625"
"10258","diancilu","850","90","1.5"
"10261","diancilu","1500","60","0.625"
"10266","diancilu","1250","60","0.375"
"10287","dianfanguo","400","60","0.625"
"10304","diancilu","850","90","0.875"
"10314","diancilu","1500","90","0.625"
"10325",NA,"300","8","0.375"
"10329","diancilu","1500","60","0.625"
"10338","diancilu","1250","90","0.625"
"10339","dianfanguo","1500","90","0.625"
"10344","gaoyaguo",NA,"20","0.625"
"10368","diancilu","1500","90","0.625"
"10369","diancilu","1250","90","1.5"
"10398","gaoyaguo",NA,"60","0.375"
"10425","diancilu","1500","60","0.375"
"10431","diancilu","600","60","0.375"
"10442","diancilu","1500","60","0.625"
"10443","diancilu","1500","90","0.625"
"10451","diancilu","1500","90","0.625"
"10465","diancilu","1500","90","0.625"
"10479","dianfanguo","600","60","0.625"
"10501","dianshuihu","300","12","0.375"
"10512",NA,"300","20","0.375"
"10530","diancilu","1250","60","0.625"
"10548","diancilu",NA,"60","0.375"
"10568","diancilu",NA,"90","0.875"
"10583","dianfanguo","1500","90","0.375"
"10589","diancilu","1500","60","1.5"
"10590","dianfanguo","600","60","0.375"
"10601","diancilu","1500","90","0.625"
"10622","dianfanguo","1500","90","0.875"
"10630","diancilu","850","60","1.5"
"10633","diancilu","400","12","0.875"
"10634","dianfanguo","850","60","0.375"
"10636","diancilu","1250","60","1.5"
"10652","dianfanguo","850","60","0.375"
"10659","dianfanguo","850","60","0.25"
"10672","dianfanguo","400","30","1.5"
"10689","dianfanguo","1250","60","0.25"
"10697","dianfanguo","1500","12","0.625"
"10698","diancilu","1250","60","0.625"
"10708","diancilu","1250","60","0.375"
"10734","dianfanguo","1500","60","0.625"
"10749","diancilu","1250","8","0.375"
"10769","diancilu","1250","60","0.625"
"10780","diancilu","1500","90","1.5"
"10782","dianfanguo","1500","12","0.25"
"10783","dianfanguo","400","90","0.625"
"10785","diancilu","850","20","0.375"
"10787",NA,"300","8","0.375"
"10791","diancilu","1500","90","0.625"
"10795","diancilu","400","60","0.625"
"10799","diancilu","850","90","0.875"
"10810","dianfanguo","1250","90","0.375"
"10827","diancilu","400","60","1.5"
"10834","diancilu","1500","90","0.375"
"10836","diancilu","1500","90","0.625"
"10839","gaoyaguo","600","20","1.5"
"10849","diancilu","1500","90","1.5"
"10855","diancilu","1500","90","0.375"
"10860","dianfanguo","600","60","0.375"
"10864","diancilu","850","20","0.625"
"10865","diancilu","1500","90","0.625"
"10870","diancilu","1500","90","0.625"
"10871","dianfanguo","600","60","0.625"
"10875","dianfanguo","850","60","0.625"
"10877","diancilu","400","60","1.5"
"10879","dianfanguo","850","30","0.375"
"10881","diancilu","850","60","0.625"
"10892","dianfanguo","1500","60","0.625"
"10893","dianshuihu","1500","60","0.25"
"10901","dianfanguo","400","30","0.375"
"10905","dianfanguo","600","60","0.875"
"10907","dianshuihu","300","60","0.25"
"10914","dianfanguo","850","8","0.375"
"10918","dianfanguo","600","30","0.375"
"10928","diancilu","600","60","0.875"
"10931","diancilu","1250","60","0.625"
"10935","diancilu","400","90","0.625"
"10938","dianfanguo","850","60","0.625"
"10941","diancilu","1250","60","0.625"
"10943","dianfanguo","400","60","0.625"
"10945","diancilu","400","60","0.375"
"10946","diancilu","300","30","0.625"
"10950","dianfanguo","400","30","0.375"
"10953","diancilu","1250","90","0.875"
"10958","dianfanguo","400","90","0.625"
"10966","dianshuihu","1250","90","0.25"
