"","kinds","efficiency","frequency","time"
"2167","diancilu","1250","90","0.375"
"2170","diancilu","1250","60","0.375"
"2176","diancilu","1250","60","0.625"
"2223","diancilu","400","60","0.625"
"2229","diancilu",NA,"60","0.875"
"2267","diancilu","1500","90","0.375"
"2272","dianfanguo","300","60","0.375"
"2302","dianfanguo","300","60","0.375"
"2318","dianfanguo","850","90","0.375"
"2324","dianfanguo","850","60","0.625"
"2341","diancilu","1250","90","0.375"
"2367","diancilu","1500","90","0.625"
"2379","diancilu","1500","90","0.625"
"2380","diancilu",NA,"90","0.375"
"2384","dianfanguo","1500","60","0.625"
"2390","diancilu","1500","90","1.5"
"2400","diancilu","1500","90","0.625"
"2414","diancilu","1500","60","0.375"
"2418","dianfanguo",NA,"20","0.875"
"2433","dianfanguo","1500","90","1.5"
"2438","dianfanguo","300","30","0.375"
"2440","diancilu","1250","60","0.375"
"2452","dianfanguo","1250","90","0.875"
"2470","dianfanguo",NA,"20","0.375"
"2471","diancilu",NA,"30","0.375"
"2472","dianfanguo","1250","30","0.625"
"2475","dianfanguo","850","90","0.625"
"2493","dianfanguo",NA,"30","0.375"
"2494","dianfanguo",NA,"90","0.625"
"2501","diancilu","1500","90","0.375"
"2519","dianfanguo",NA,"60","0.375"
"2525","dianfanguo","850","60","0.375"
"2547","dianfanguo","600","4",NA
"2548","diancilu",NA,"90","0.375"
"2555","dianfanguo","600","30","0.375"
"2577","dianfanguo",NA,"90","0.375"
"2588","dianfanguo","1500","90","0.625"
"2590","diancilu",NA,"90","0.375"
"2591","dianshuihu","850","90","0.375"
"2595","dianshuihu","850","30","0.25"
"2599",NA,"300","20","0.25"
"2600","diancilu","1250","90","0.375"
"2604","dianfanguo","600","60","0.375"
"2606","gaoyaguo","1250","90","0.375"
"2614","dianfanguo","850","90","0.375"
"2617","dianshuihu","300","90","0.25"
"2626","diancilu",NA,"60","0.375"
"2646","dianfanguo","1500","60","0.375"
"2654","dianfanguo",NA,"90","0.375"
"2666","dianfanguo","400","60","0.375"
"2676","diancilu","1500","30","0.625"
"2684","dianfanguo",NA,"90","0.375"
"2688","dianfanguo","1500","60","0.625"
"2692",NA,"300","60","0.375"
"2700","dianfanguo","300","60","0.625"
"2712","diancilu","300","30","0.375"
"2713","dianfanguo","850","60","0.375"
"2736","dianshuihu","1500","60","0.25"
"2738","dianfanguo","1250","30","0.625"
"2740","diancilu","850","90",NA
"2776","dianfanguo","600","60","0.375"
"2780","diancilu","1500","20","0.375"
"2783","dianfanguo","1250","30","0.875"
"2785","diancilu",NA,"60","0.375"
"2786","dianfanguo","850","30","0.625"
"2815","dianfanguo",NA,"90","0.625"
"2830","dianfanguo",NA,"90","0.375"
"2844","diancilu",NA,"90","0.375"
"2858","diancilu","1250","90","0.625"
"2863","dianfanguo",NA,"30","6"
"2880","dianfanguo","1250","60","0.625"
"2881","diancilu","1500","90","0.375"
"2892","dianfanguo","600","30","0.875"
"2894","dianfanguo","600","30","0.375"
"2901","dianshuihu","300","90","0.25"
"2906","dianfanguo","300","30","0.875"
"2912","dianfanguo","1500","60","0.375"
"2921","dianfanguo","400","30","0.375"
"2925","dianfanguo",NA,"60","0.375"
"2926","diancilu","1250","60","0.375"
"2927","dianfanguo","850","60","0.625"
"2930","dianfanguo","300","90","0.375"
"2933","dianfanguo","850","60","0.375"
"2937","dianfanguo","850","30","0.375"
"2939","dianfanguo",NA,"60","0.375"
"2941",NA,"300","20","0.25"
"2944","diancilu","1250","60","0.625"
"2954","diancilu","1500","90","1.5"
"2972","dianfanguo","300","30","0.625"
"3044","dianfanguo","1250","30","0.625"
"3076","diancilu","1250","30","0.875"
"3101","dianfanguo",NA,"20","0.625"
"3141","dianfanguo",NA,"30","0.375"
"3183",NA,NA,NA,NA
"3234","dianfanguo","850","30","0.625"
"3299","dianfanguo",NA,"30","0.625"
"3370","dianfanguo",NA,"60","0.625"
"3383","dianfanguo",NA,"30","0.375"
"3455","diancilu","1250","90","0.625"
"3496","dianfanguo","400","90","0.375"
"3502","dianfanguo","300","60","0.375"
"3526","dianfanguo","850","60","0.625"
"3531","dianshuihu","300","90","0.25"
"3548","dianfanguo","600","30","0.625"
"3564","dianfanguo","400","90","0.375"
"3572","dianfanguo","300","30","0.375"
"3585","dianfanguo","600","90","0.375"
"3604","dianfanguo","600","90","0.375"
"3628","diancilu","1250","60","0.375"
"3692","diancilu","1250","60","0.625"
"3698","gaoyaguo",NA,"30","0.625"
"3756","dianfanguo","400","90","0.375"
"3762","dianfanguo","850","90","0.625"
"3765","dianfanguo","300","60","0.375"
"3777","diancilu","1250","60","0.375"
"3797","dianfanguo","300","20","0.375"
"3801","dianfanguo","300","4","0.375"
"3810","diancilu",NA,"90","0.375"
"3926","diancilu","1250","90","0.375"
"3972","diancilu","1500","90","0.875"
"3999","dianfanguo","400","60","0.875"
"4011","dianfanguo",NA,"60","0.875"
"4016","dianfanguo","400","30","0.625"
"4018","dianfanguo","1250","90","0.375"
"4020","dianfanguo","1250","60","0.375"
"4028","dianfanguo","850","30","0.625"
"4035","dianfanguo","600","60","0.375"
"4051","weibolu","1250","4","0.25"
"4057","dianfanguo","400","30","0.625"
"4078","dianfanguo",NA,"60","0.375"
"4100","dianfanguo","850","60","1.5"
"4121","dianfanguo",NA,"90",NA
"4129","diancilu","1500","60","0.375"
"4159","dianfanguo","600","30","0.375"
"4163","dianfanguo",NA,"90","0.625"
"4182","diancilu",NA,"90","0.625"
"4202","dianfanguo","850","12","0.625"
"4218","dianshuihu",NA,"90","0.375"
"4223","dianfanguo",NA,"30","0.625"
"4228","dianfanguo",NA,"90","0.375"
"4271","diancilu","1250","12","0.625"
"4283","diancilu","600","12","0.625"
"4284","dianfanguo",NA,"90","0.375"
"4315","diancilu","1500","12","0.875"
"4319","dianfanguo","1250","60","0.375"
"4322","dianfanguo","1250","60","0.625"
"4328","dianfanguo",NA,"30","0.375"
"4338","dianfanguo","600","20","0.625"
"4370","diancilu","850","90","0.625"
"4371","dianshuihu",NA,"90","0.25"
